"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 01 10:07:56 UTC 2022","Wed Jun 01 10:08:26 UTC 2022","30219","","C54: The scheduler can delete areas at existing configuration.","","C54: The scheduler can delete areas at existing configuration.","""after all"" hook for C54: The scheduler can delete areas at existing configuration.","""after all"" hook for C54: The scheduler can delete areas at existing configuration.",""
"passed","Wed Jun 01 10:06:56 UTC 2022","Wed Jun 01 10:06:58 UTC 2022","1437","","C31: The sales manager can't add a new configuration.","","C31: The sales manager can't add a new configuration.","Should click the ""Update Schedule"" button.","Should click the ""Update Schedule"" button.",""
"passed","Wed Jun 01 10:06:58 UTC 2022","Wed Jun 01 10:07:02 UTC 2022","4860","","C31: The sales manager can't add a new configuration.","","C31: The sales manager can't add a new configuration.","Should try to add configuration.","Should try to add configuration.",""
"passed","Wed Jun 01 09:49:41 UTC 2022","Wed Jun 01 09:49:43 UTC 2022","1277","","C12: Login to ""Master Schedule"" application as ""Sales Manager"" role with valid credentials at Staging server.","","C12: Login to ""Master Schedule"" application as ""Sales Manager"" role with valid credentials at Staging server.","Should fill the ""Email"" and ""Password"" fields with the valid data adn click ""Send"" button.","Should fill the ""Email"" and ""Password"" fields with the valid data adn click ""Send"" button.",""
"passed","Wed Jun 01 10:03:42 UTC 2022","Wed Jun 01 10:04:02 UTC 2022","19321","","C19: The scheduler can delete input field for an existing column.","","C19: The scheduler can delete input field for an existing column.","Should click the ""Update Form Structure"" button.","Should click the ""Update Form Structure"" button.",""
"passed","Wed Jun 01 10:09:44 UTC 2022","Wed Jun 01 10:09:49 UTC 2022","5401","","C8: The scheduler can add a date for Canada country.","","C8: The scheduler can add a date for Canada country.","Should select ""Country"", ""Project type"" and ""Region"" from ddl, set date and Area Name.","Should select ""Country"", ""Project type"" and ""Region"" from ddl, set date and Area Name.",""
"passed","Wed Jun 01 10:10:16 UTC 2022","Wed Jun 01 10:10:16 UTC 2022","170","","C9: The scheduler can delete an existing configuration.","","C9: The scheduler can delete an existing configuration.","Should set filters as you set for scheduling date and verify deleting.","Should set filters as you set for scheduling date and verify deleting.",""
"passed","Wed Jun 01 10:01:32 UTC 2022","Wed Jun 01 10:01:39 UTC 2022","6833","","C15: The scheduler can add a new column","","C15: The scheduler can add a new column","Should create input.","Should create input.",""
"passed","Wed Jun 01 10:02:11 UTC 2022","Wed Jun 01 10:02:15 UTC 2022","4211","","C16: The scheduler can delete an existing column.","","C16: The scheduler can delete an existing column.","Should delete created input from form structure","Should delete created input from form structure",""
"passed","Wed Jun 01 09:49:58 UTC 2022","Wed Jun 01 09:50:44 UTC 2022","46022","","C23: Searching existing project by name","","C23: Searching existing project by name","Should search for created project: projectohcbw1","Should search for created project: projectohcbw1",""
"passed","Wed Jun 01 10:07:04 UTC 2022","Wed Jun 01 10:07:06 UTC 2022","1456","","C39: After creating first configuration for a region we get all the available slots per weeks for the calendar year.","","C39: After creating first configuration for a region we get all the available slots per weeks for the calendar year.","Should click the ""Update Schedule"" button.","Should click the ""Update Schedule"" button.",""
"passed","Wed Jun 01 09:53:12 UTC 2022","Wed Jun 01 09:53:18 UTC 2022","5552","","C27: Creating a new project in an available slot by ""Sales Manager""","","C27: Creating a new project in an available slot by ""Sales Manager""","As ""Scheduler"" clean form structure","As ""Scheduler"" clean form structure",""
"passed","Wed Jun 01 10:03:29 UTC 2022","Wed Jun 01 10:03:41 UTC 2022","11343","","C18: The scheduler can create input field for an existing column with ""text"" type.","","C18: The scheduler can create input field for an existing column with ""text"" type.","Should verify that inputs are created in reserve form","Should verify that inputs are created in reserve form",""
"passed","Wed Jun 01 10:08:49 UTC 2022","Wed Jun 01 10:08:58 UTC 2022","9343","","C56: Creating configurations for subsequent years.","","C56: Creating configurations for subsequent years.","Should set filters as you set for scheduling date.","Should set filters as you set for scheduling date.",""
"passed","Wed Jun 01 10:05:53 UTC 2022","Wed Jun 01 10:06:02 UTC 2022","9331","","C10: The scheduler can edit an existing configuration.","","C10: The scheduler can edit an existing configuration.","Should set filters for edited configuration and verify editing.","Should set filters for edited configuration and verify editing.",""
"failed","Wed Jun 01 10:08:28 UTC 2022","Wed Jun 01 10:08:35 UTC 2022","6655","","C55: The scheduler can edit areas at existing configuration.","","C55: The scheduler can edit areas at existing configuration.","""before all"" hook for C55: The scheduler can edit areas at existing configuration.","""before all"" hook for C55: The scheduler can edit areas at existing configuration.",""
"passed","Wed Jun 01 10:04:02 UTC 2022","Wed Jun 01 10:04:06 UTC 2022","4632","","C19: The scheduler can delete input field for an existing column.","","C19: The scheduler can delete input field for an existing column.","Should delete created input from form structure","Should delete created input from form structure",""
"passed","Wed Jun 01 10:07:22 UTC 2022","Wed Jun 01 10:07:28 UTC 2022","6509","","C53: Inability to create configurations with area same names.","","C53: Inability to create configurations with area same names.","Should try to add new configuration with two areas same names.","Should try to add new configuration with two areas same names.",""
